OBJECTID,ain,SiteAddress,usecode,usetype,usedescription,Vacant_Use,unitstotal,MaxYear,SupDist2021,Submarket_Area,plng_area,Comm_Name,Plan_Name,LUP1,PctLUPArea1,LUP2,PctLUPArea2,LUP3,PctLUPArea3,LUP_Description,LUP_MinDens,LUP_MaxDens,P_LUP_FINAL,P_LUP_Description,P_LUP_FINAL_MinDens,P_LUP_FINAL_MaxDens,Zoning1,PctZngArea1,Zoning2,PctZngArea2,Zoning3,PctZngArea3,Zoning_Description,P_Zoning_FINAL,P_Zoning_Description,Acres,Max_Units_Allowed_Rounded,RHNA_Eligible,Capacity_Inc_Very_Low,Capacity_Inc_Low,Capacity_Inc_Mod,Capacity_Inc_Abv_Mod,Realistic_Capacity,Income_Categories,Consolidation_ID,Consolidation_Adj_APNs,Shape__Area,Shape__Length
2076,8026027021,12011 LOUIS AVE WHITTIER CA 90605                                                   ,0200,Residential,Two Units,Non-Vacant,2,2008,4,East Los Angeles / Gateway,Gateway Planning Area,SOUTH WHITTIER - SUNSHINE ACRES,General Plan 2035,H18,100,,,,,H18 - Residential 18 (0 - 18 du/net ac),0,18 du/net ac,H18,H18 - Residential 18 (0 - 18 du/net ac),0,18,A-1,100,,,,,A-1 - Light Agricultural,R-2,R-2 - Two-Family Residence,0.29235848,6,Yes,0,0,0,4,4,AM,,,12735.1357421875,530.715664562375
2077,8026027022,11923 LOUIS AVE WHITTIER CA 90605                                                   ,0400,Residential,Four Units (Any Combination),Non-Vacant,4,1961,4,East Los Angeles / Gateway,Gateway Planning Area,SOUTH WHITTIER - SUNSHINE ACRES,General Plan 2035,H18,100,,,,,H18 - Residential 18 (0 - 18 du/net ac),0,18 du/net ac,H18,H18 - Residential 18 (0 - 18 du/net ac),0,18,A-1,100,,,,,A-1 - Light Agricultural,R-2,R-2 - Two-Family Residence,0.61223118,12,Yes,0,0,0,7,7,AM,,,26668.7900390625,677.621410930274
2078,8026027023,11913 LOUIS AVE WHITTIER CA 90605                                                   ,0300,Residential,Three Units (Any Combination),Non-Vacant,3,1950,4,East Los Angeles / Gateway,Gateway Planning Area,SOUTH WHITTIER - SUNSHINE ACRES,General Plan 2035,H18,100,,,,,H18 - Residential 18 (0 - 18 du/net ac),0,18 du/net ac,H18,H18 - Residential 18 (0 - 18 du/net ac),0,18,A-1,100,,,,,A-1 - Light Agricultural,R-2,R-2 - Two-Family Residence,0.3157175,6,Yes,0,0,0,3,3,AM,,,13752.654296875,565.057132654435
2079,8026027024,11909 LOUIS AVE WHITTIER CA 90605                                                   ,0200,Residential,Two Units,Non-Vacant,2,1954,4,East Los Angeles / Gateway,Gateway Planning Area,SOUTH WHITTIER - SUNSHINE ACRES,General Plan 2035,H18,100,,,,,H18 - Residential 18 (0 - 18 du/net ac),0,18 du/net ac,H18,H18 - Residential 18 (0 - 18 du/net ac),0,18,A-1,100,,,,,A-1 - Light Agricultural,R-2,R-2 - Two-Family Residence,0.31231635,6,Yes,0,0,0,4,4,AM,,,13604.5,561.57137430149
2080,8026027025,11903 LOUIS AVE WHITTIER CA 90605                                                   ,0100,Residential,Single,Non-Vacant,1,1930,4,East Los Angeles / Gateway,Gateway Planning Area,SOUTH WHITTIER - SUNSHINE ACRES,General Plan 2035,H18,100,,,,,H18 - Residential 18 (0 - 18 du/net ac),0,18 du/net ac,H18,H18 - Residential 18 (0 - 18 du/net ac),0,18,A-1,100,,,,,A-1 - Light Agricultural,R-2,R-2 - Two-Family Residence,0.31142903,6,Yes,0,0,0,4,4,AM,,,13565.8486328125,559.071577793186
2081,8026027026,11829 LOUIS AVE SOUTH WHITTIER CA 90605                                             ,0200,Residential,Two Units,Non-Vacant,2,1990,4,East Los Angeles / Gateway,Gateway Planning Area,SOUTH WHITTIER - SUNSHINE ACRES,General Plan 2035,H18,100,,,,,H18 - Residential 18 (0 - 18 du/net ac),0,18 du/net ac,H18,H18 - Residential 18 (0 - 18 du/net ac),0,18,A-1,100,,,,,A-1 - Light Agricultural,R-2,R-2 - Two-Family Residence,0.30652635,6,Yes,0,0,0,4,4,AM,,,13352.2880859375,555.31285600807
2082,8026027027,11821 LOUIS AVE WHITTIER CA 90605                                                   ,0100,Residential,Single,Non-Vacant,1,1951,4,East Los Angeles / Gateway,Gateway Planning Area,SOUTH WHITTIER - SUNSHINE ACRES,General Plan 2035,H18,100,,,,,H18 - Residential 18 (0 - 18 du/net ac),0,18 du/net ac,H18,H18 - Residential 18 (0 - 18 du/net ac),0,18,A-1,100,,,,,A-1 - Light Agricultural,R-2,R-2 - Two-Family Residence,0.30783217,6,Yes,0,0,0,4,4,AM,,,13409.1689453125,554.055095940487
2083,8026027028,11817 LOUIS AVE WHITTIER CA 90605                                                   ,0200,Residential,Two Units,Non-Vacant,2,1951,4,East Los Angeles / Gateway,Gateway Planning Area,SOUTH WHITTIER - SUNSHINE ACRES,General Plan 2035,H18,100,,,,,H18 - Residential 18 (0 - 18 du/net ac),0,18 du/net ac,H18,H18 - Residential 18 (0 - 18 du/net ac),0,18,A-1,100,,,,,A-1 - Light Agricultural,R-2,R-2 - Two-Family Residence,0.31080891,6,Yes,0,0,0,4,4,AM,,,13538.8359375,553.32676724565
2084,8026027029,13272 BEATY AVE WHITTIER CA 90605                                                   ,0100,Residential,Single,Non-Vacant,1,1956,4,East Los Angeles / Gateway,Gateway Planning Area,SOUTH WHITTIER - SUNSHINE ACRES,General Plan 2035,H18,100,,,,,H18 - Residential 18 (0 - 18 du/net ac),0,18 du/net ac,H18,H18 - Residential 18 (0 - 18 du/net ac),0,18,A-1,100,,,,,A-1 - Light Agricultural,R-2,R-2 - Two-Family Residence,0.15404392,3,Yes,0,0,0,2,2,AM,,,6710.154296875,358.523618232157
2085,8026027030,13278 BEATY AVE WHITTIER CA 90605                                                   ,0100,Residential,Single,Non-Vacant,1,1954,4,East Los Angeles / Gateway,Gateway Planning Area,SOUTH WHITTIER - SUNSHINE ACRES,General Plan 2035,H18,100,,,,,H18 - Residential 18 (0 - 18 du/net ac),0,18 du/net ac,H18,H18 - Residential 18 (0 - 18 du/net ac),0,18,A-1,100,,,,,A-1 - Light Agricultural,R-2,R-2 - Two-Family Residence,0.14900407,3,Yes,0,0,0,2,2,AM,,,6490.6171875,354.535850407334
2086,8026027032,13284 BEATY AVE WHITTIER CA 90605                                                   ,0100,Residential,Single,Non-Vacant,1,1948,4,East Los Angeles / Gateway,Gateway Planning Area,SOUTH WHITTIER - SUNSHINE ACRES,General Plan 2035,H18,100,,,,,H18 - Residential 18 (0 - 18 du/net ac),0,18 du/net ac,H18,H18 - Residential 18 (0 - 18 du/net ac),0,18,A-1,100,,,,,A-1 - Light Agricultural,R-2,R-2 - Two-Family Residence,0.18647338,4,Yes,0,0,0,3,3,AM,,,8121.0400390625,358.089567074456
2087,8026027033,11811 LOUIS AVE WHITTIER CA 90605                                                   ,0100,Residential,Single,Non-Vacant,1,1954,4,East Los Angeles / Gateway,Gateway Planning Area,SOUTH WHITTIER - SUNSHINE ACRES,General Plan 2035,H18,100,,,,,H18 - Residential 18 (0 - 18 du/net ac),0,18 du/net ac,H18,H18 - Residential 18 (0 - 18 du/net ac),0,18,A-1,100,,,,,A-1 - Light Agricultural,R-2,R-2 - Two-Family Residence,0.11697926,3,Yes,0,0,0,2,2,AM,,,5095.615234375,311.99861773973
2088,8026027035,13264 BEATY AVE WHITTIER CA 90605                                                   ,0200,Residential,Two Units,Non-Vacant,2,1968,4,East Los Angeles / Gateway,Gateway Planning Area,SOUTH WHITTIER - SUNSHINE ACRES,General Plan 2035,H18,100,,,,,H18 - Residential 18 (0 - 18 du/net ac),0,18 du/net ac,H18,H18 - Residential 18 (0 - 18 du/net ac),0,18,A-1,100,,,,,A-1 - Light Agricultural,R-2,R-2 - Two-Family Residence,0.3020539,6,Yes,0,0,0,4,4,AM,,,13157.4677734375,556.6752608006
2089,8026027036,11808 S LAUREL WHITTIER CA 90608                                                    ,0200,Residential,Two Units,Non-Vacant,2,1952,4,East Los Angeles / Gateway,Gateway Planning Area,SOUTH WHITTIER - SUNSHINE ACRES,General Plan 2035,H18,100,,,,,H18 - Residential 18 (0 - 18 du/net ac),0,18 du/net ac,H18,H18 - Residential 18 (0 - 18 du/net ac),0,18,A-1,100,,,,,A-1 - Light Agricultural,R-2,R-2 - Two-Family Residence,0.23618147,5,Yes,0,0,0,3,3,AM,,,10288.0654296875,446.408514636506
2090,8026028001,13300 BEATY AVE WHITTIER CA 90605                                                   ,0100,Residential,Single,Non-Vacant,1,1952,4,East Los Angeles / Gateway,Gateway Planning Area,SOUTH WHITTIER - SUNSHINE ACRES,General Plan 2035,H18,100,,,,,H18 - Residential 18 (0 - 18 du/net ac),0,18 du/net ac,H18,H18 - Residential 18 (0 - 18 du/net ac),0,18,A-1,100,,,,,A-1 - Light Agricultural,R-2,R-2 - Two-Family Residence,0.21651063,4,Yes,0,0,0,3,3,AM,,,9427.8134765625,417.925696975747
2091,8026028002,13318 BEATY AVE WHITTIER CA 90605                                                   ,0100,Residential,Single,Non-Vacant,1,1950,4,East Los Angeles / Gateway,Gateway Planning Area,SOUTH WHITTIER - SUNSHINE ACRES,General Plan 2035,H18,100,,,,,H18 - Residential 18 (0 - 18 du/net ac),0,18 du/net ac,H18,H18 - Residential 18 (0 - 18 du/net ac),0,18,A-1,100,,,,,A-1 - Light Agricultural,R-2,R-2 - Two-Family Residence,0.17062752,4,Yes,0,0,0,3,3,AM,,,7432.53515625,369.34402286657
2092,8026028003,11808 LOUIS AVE WHITTIER CA 90605                                                   ,0200,Residential,Two Units,Non-Vacant,2,2007,4,East Los Angeles / Gateway,Gateway Planning Area,SOUTH WHITTIER - SUNSHINE ACRES,General Plan 2035,H18,100,,,,,H18 - Residential 18 (0 - 18 du/net ac),0,18 du/net ac,H18,H18 - Residential 18 (0 - 18 du/net ac),0,18,A-1,100,,,,,A-1 - Light Agricultural,R-2,R-2 - Two-Family Residence,0.2174654,4,Yes,0,0,0,2,2,AM,,,9472.7919921875,428.078203204583
2093,8026028004,11812 LOUIS AVE WHITTIER CA 90605                                                   ,0200,Residential,Two Units,Non-Vacant,2,1930,4,East Los Angeles / Gateway,Gateway Planning Area,SOUTH WHITTIER - SUNSHINE ACRES,General Plan 2035,H18,100,,,,,H18 - Residential 18 (0 - 18 du/net ac),0,18 du/net ac,H18,H18 - Residential 18 (0 - 18 du/net ac),0,18,A-1,100,,,,,A-1 - Light Agricultural,R-2,R-2 - Two-Family Residence,0.30139837,6,Yes,0,0,0,4,4,AM,,,13128.9130859375,545.08443750235
2094,8026028005,11822 LOUIS AVE WHITTIER CA 90605                                                   ,0100,Residential,Single,Non-Vacant,1,1942,4,East Los Angeles / Gateway,Gateway Planning Area,SOUTH WHITTIER - SUNSHINE ACRES,General Plan 2035,H18,100,,,,,H18 - Residential 18 (0 - 18 du/net ac),0,18 du/net ac,H18,H18 - Residential 18 (0 - 18 du/net ac),0,18,A-1,100,,,,,A-1 - Light Agricultural,R-2,R-2 - Two-Family Residence,0.29939795,6,Yes,0,0,0,4,4,AM,,,13041.775390625,542.838411339174
2095,8026028006,11828 LOUIS AVE WHITTIER CA 90605                                                   ,0100,Residential,Single,Non-Vacant,1,1928,4,East Los Angeles / Gateway,Gateway Planning Area,SOUTH WHITTIER - SUNSHINE ACRES,General Plan 2035,H18,100,,,,,H18 - Residential 18 (0 - 18 du/net ac),0,18 du/net ac,H18,H18 - Residential 18 (0 - 18 du/net ac),0,18,A-1,100,,,,,A-1 - Light Agricultural,R-2,R-2 - Two-Family Residence,0.29849881,6,Yes,0,0,0,4,4,AM,,,13002.609375,541.068752005891
2096,8026028007,11902 LOUIS AVE WHITTIER CA 90605                                                   ,0100,Residential,Single,Non-Vacant,1,1950,4,East Los Angeles / Gateway,Gateway Planning Area,SOUTH WHITTIER - SUNSHINE ACRES,General Plan 2035,H18,100,,,,,H18 - Residential 18 (0 - 18 du/net ac),0,18 du/net ac,H18,H18 - Residential 18 (0 - 18 du/net ac),0,18,A-1,100,,,,,A-1 - Light Agricultural,R-2,R-2 - Two-Family Residence,0.29294605,6,Yes,0,0,0,4,4,AM,,,12760.73046875,537.325037128547
2097,8026028008,11908 LOUIS AVE WHITTIER CA 90605                                                   ,0100,Residential,Single,Non-Vacant,1,1955,4,East Los Angeles / Gateway,Gateway Planning Area,SOUTH WHITTIER - SUNSHINE ACRES,General Plan 2035,H18,100,,,,,H18 - Residential 18 (0 - 18 du/net ac),0,18 du/net ac,H18,H18 - Residential 18 (0 - 18 du/net ac),0,18,A-1,100,,,,,A-1 - Light Agricultural,R-2,R-2 - Two-Family Residence,0.29562227,6,Yes,0,0,0,4,4,AM,,,12877.306640625,537.066439529183
2098,8026028009,11914 LOUIS AVE WHITTIER CA 90605                                                   ,0100,Residential,Single,Non-Vacant,1,1953,4,East Los Angeles / Gateway,Gateway Planning Area,SOUTH WHITTIER - SUNSHINE ACRES,General Plan 2035,H18,100,,,,,H18 - Residential 18 (0 - 18 du/net ac),0,18 du/net ac,H18,H18 - Residential 18 (0 - 18 du/net ac),0,18,A-1,100,,,,,A-1 - Light Agricultural,R-2,R-2 - Two-Family Residence,0.29164204,6,Yes,0,0,0,4,4,AM,,,12703.9267578125,534.309707302578
2099,8026028012,12010 LOUIS AVE WHITTIER CA 90605                                                   ,0100,Residential,Single,Non-Vacant,2,2010,4,East Los Angeles / Gateway,Gateway Planning Area,SOUTH WHITTIER - SUNSHINE ACRES,General Plan 2035,H18,100,,,,,H18 - Residential 18 (0 - 18 du/net ac),0,18 du/net ac,H18,H18 - Residential 18 (0 - 18 du/net ac),0,18,A-1,100,,,,,A-1 - Light Agricultural,R-2,R-2 - Two-Family Residence,0.290644,6,Yes,0,0,0,4,4,AM,,,12660.451171875,530.070469056423
2100,8026028013,12014 LOUIS AVE WHITTIER CA 90605                                                   ,0100,Residential,Single,Non-Vacant,1,1933,4,East Los Angeles / Gateway,Gateway Planning Area,SOUTH WHITTIER - SUNSHINE ACRES,General Plan 2035,H18,100,,,,,H18 - Residential 18 (0 - 18 du/net ac),0,18 du/net ac,H18,H18 - Residential 18 (0 - 18 du/net ac),0,18,A-1,100,,,,,A-1 - Light Agricultural,R-2,R-2 - Two-Family Residence,0.28722495,6,Yes,0,0,0,4,4,AM,,,12511.51953125,527.558681284234
2101,8026028014,12022 LOUIS AVE WHITTIER CA 90605                                                   ,0200,Residential,Two Units,Non-Vacant,2,1962,4,East Los Angeles / Gateway,Gateway Planning Area,SOUTH WHITTIER - SUNSHINE ACRES,General Plan 2035,H18,100,,,,,H18 - Residential 18 (0 - 18 du/net ac),0,18 du/net ac,H18,H18 - Residential 18 (0 - 18 du/net ac),0,18,A-1,100,,,,,A-1 - Light Agricultural,R-2,R-2 - Two-Family Residence,0.2859213,6,Yes,0,0,0,4,4,AM,,,12454.732421875,526.05761061707
2102,8026028017,12019 CARMENITA RD WHITTIER CA 90605                                                ,0200,Residential,Two Units,Non-Vacant,2,1962,4,East Los Angeles / Gateway,Gateway Planning Area,SOUTH WHITTIER - SUNSHINE ACRES,General Plan 2035,H18,100,,,,,H18 - Residential 18 (0 - 18 du/net ac),0,18 du/net ac,H18,H18 - Residential 18 (0 - 18 du/net ac),0,18,A-1,100,,,,,A-1 - Light Agricultural,R-2,R-2 - Two-Family Residence,0.2874896,6,Yes,0,0,0,4,4,AM,,,12523.0458984375,527.78420614765
2103,8026028018,12013 CARMENITA RD WHITTIER CA 90605                                                ,0200,Residential,Two Units,Non-Vacant,2,1962,4,East Los Angeles / Gateway,Gateway Planning Area,SOUTH WHITTIER - SUNSHINE ACRES,General Plan 2035,H18,100,,,,,H18 - Residential 18 (0 - 18 du/net ac),0,18 du/net ac,H18,H18 - Residential 18 (0 - 18 du/net ac),0,18,A-1,100,,,,,A-1 - Light Agricultural,R-2,R-2 - Two-Family Residence,0.29294213,6,Yes,0,0,0,4,4,AM,,,12760.560546875,531.055542638642
2104,8026028019,12009 CARMENITA RD WHITTIER CA 90605                                                ,0100,Residential,Single,Non-Vacant,1,1948,4,East Los Angeles / Gateway,Gateway Planning Area,SOUTH WHITTIER - SUNSHINE ACRES,General Plan 2035,H18,100,,,,,H18 - Residential 18 (0 - 18 du/net ac),0,18 du/net ac,H18,H18 - Residential 18 (0 - 18 du/net ac),0,18,A-1,100,,,,,A-1 - Light Agricultural,R-2,R-2 - Two-Family Residence,0.29182682,6,Yes,0,0,0,4,4,AM,,,12711.9765625,531.558383580737
2105,8026028020,11929 CARMENITA RD WHITTIER CA 90605                                                ,0100,Residential,Single,Non-Vacant,1,1995,4,East Los Angeles / Gateway,Gateway Planning Area,SOUTH WHITTIER - SUNSHINE ACRES,General Plan 2035,H18,100,,,,,H18 - Residential 18 (0 - 18 du/net ac),0,18 du/net ac,H18,H18 - Residential 18 (0 - 18 du/net ac),0,18,A-1,100,,,,,A-1 - Light Agricultural,R-2,R-2 - Two-Family Residence,0.29625357,6,Yes,0,0,0,4,4,AM,,,12904.8046875,534.275338629691
2106,8026028021,11925 CARMENITA RD WHITTIER CA 90605                                                ,0100,Residential,Single,Non-Vacant,1,1999,4,East Los Angeles / Gateway,Gateway Planning Area,SOUTH WHITTIER - SUNSHINE ACRES,General Plan 2035,H18,100,,,,,H18 - Residential 18 (0 - 18 du/net ac),0,18 du/net ac,H18,H18 - Residential 18 (0 - 18 du/net ac),0,18,A-1,100,,,,,A-1 - Light Agricultural,R-2,R-2 - Two-Family Residence,0.29328103,6,Yes,0,0,0,4,4,AM,,,12775.3232421875,533.553583182246
2107,8026028023,11903 CARMENITA RD WHITTIER CA 90605                                                ,0100,Residential,Single,Non-Vacant,1,1934,4,East Los Angeles / Gateway,Gateway Planning Area,SOUTH WHITTIER - SUNSHINE ACRES,General Plan 2035,H18,100,,,,,H18 - Residential 18 (0 - 18 du/net ac),0,18 du/net ac,H18,H18 - Residential 18 (0 - 18 du/net ac),0,18,A-1,100,,,,,A-1 - Light Agricultural,R-2,R-2 - Two-Family Residence,0.29138653,6,Yes,0,0,0,4,4,AM,,,12692.7978515625,535.533634133402
2108,8026028024,11831 CARMENITA RD WHITTIER CA                                                      ,0200,Residential,Two Units,Non-Vacant,2,2009,4,East Los Angeles / Gateway,Gateway Planning Area,SOUTH WHITTIER - SUNSHINE ACRES,General Plan 2035,H18,100,,,,,H18 - Residential 18 (0 - 18 du/net ac),0,18 du/net ac,H18,H18 - Residential 18 (0 - 18 du/net ac),0,18,A-1,100,,,,,A-1 - Light Agricultural,R-2,R-2 - Two-Family Residence,0.29685757,6,Yes,0,0,0,4,4,AM,,,12931.1162109375,539.038070768378
2109,8026028026,11809 CARMENITA RD WHITTIER CA 90605                                                ,0100,Residential,Single,Non-Vacant,0,1942,4,East Los Angeles / Gateway,Gateway Planning Area,SOUTH WHITTIER - SUNSHINE ACRES,General Plan 2035,H18,100,,,,,H18 - Residential 18 (0 - 18 du/net ac),0,18 du/net ac,H18,H18 - Residential 18 (0 - 18 du/net ac),0,18,A-1,100,,,,,A-1 - Light Agricultural,R-2,R-2 - Two-Family Residence,0.18495237,4,Yes,0,0,0,4,4,AM,,,8056.5244140625,402.809215037687
2110,8026028029,12028 LOUIS AVE WHITTIER CA 90605                                                   ,0100,Residential,Single,Non-Vacant,1,1941,4,East Los Angeles / Gateway,Gateway Planning Area,SOUTH WHITTIER - SUNSHINE ACRES,General Plan 2035,H18,100,,,,,H18 - Residential 18 (0 - 18 du/net ac),0,18 du/net ac,H18,H18 - Residential 18 (0 - 18 du/net ac),0,18,A-1,100,,,,,A-1 - Light Agricultural,R-2,R-2 - Two-Family Residence,0.19288115,4,Yes,0,0,0,3,3,AM,,,8401.7783203125,370.901037212797
2111,8026028030,13317 SUNSHINE AVE WHITTIER CA 90605                                                ,0100,Residential,Single,Non-Vacant,1,1939,4,East Los Angeles / Gateway,Gateway Planning Area,SOUTH WHITTIER - SUNSHINE ACRES,General Plan 2035,H18,100,,,,,H18 - Residential 18 (0 - 18 du/net ac),0,18 du/net ac,H18,H18 - Residential 18 (0 - 18 du/net ac),0,18,A-1,100,,,,,A-1 - Light Agricultural,R-2,R-2 - Two-Family Residence,0.13088275,3,Yes,0,0,0,2,2,AM,,,5701.251953125,302.535008983944
2112,8026028031,13323 SUNSHINE AVE WHITTIER CA 90605                                                ,0100,Residential,Single,Non-Vacant,1,1932,4,East Los Angeles / Gateway,Gateway Planning Area,SOUTH WHITTIER - SUNSHINE ACRES,General Plan 2035,H18,100,,,,,H18 - Residential 18 (0 - 18 du/net ac),0,18 du/net ac,H18,H18 - Residential 18 (0 - 18 du/net ac),0,18,A-1,100,,,,,A-1 - Light Agricultural,R-2,R-2 - Two-Family Residence,0.16470626,3,Yes,0,0,0,2,2,AM,,,7174.60546875,344.224622919401
2113,8026028032,12023 CARMENITA RD WHITTIER CA 90605                                                ,0100,Residential,Single,Non-Vacant,1,1962,4,East Los Angeles / Gateway,Gateway Planning Area,SOUTH WHITTIER - SUNSHINE ACRES,General Plan 2035,H18,100,,,,,H18 - Residential 18 (0 - 18 du/net ac),0,18 du/net ac,H18,H18 - Residential 18 (0 - 18 du/net ac),0,18,A-1,100,,,,,A-1 - Light Agricultural,R-2,R-2 - Two-Family Residence,0.15790623,3,Yes,0,0,0,2,2,AM,,,6879.798828125,329.192119298693
2114,8026028033,12006 LOUIS AVE WHITTIER CA 90605                                                   ,0100,Residential,Single,Non-Vacant,1,1958,4,East Los Angeles / Gateway,Gateway Planning Area,SOUTH WHITTIER - SUNSHINE ACRES,General Plan 2035,H18,100,,,,,H18 - Residential 18 (0 - 18 du/net ac),0,18 du/net ac,H18,H18 - Residential 18 (0 - 18 du/net ac),0,18,A-1,100,,,,,A-1 - Light Agricultural,R-2,R-2 - Two-Family Residence,0.1394888,3,Yes,0,0,0,2,2,AM,,,6076.1318359375,333.4645914382
2115,8026028034,12004 LOUIS AVE WHITTIER CA 90605                                                   ,0100,Residential,Single,Non-Vacant,1,1940,4,East Los Angeles / Gateway,Gateway Planning Area,SOUTH WHITTIER - SUNSHINE ACRES,General Plan 2035,H18,100,,,,,H18 - Residential 18 (0 - 18 du/net ac),0,18 du/net ac,H18,H18 - Residential 18 (0 - 18 du/net ac),0,18,A-1,100,,,,,A-1 - Light Agricultural,R-2,R-2 - Two-Family Residence,0.15835351,3,Yes,0,0,0,2,2,AM,,,6897.880859375,533.900570119348
2116,8026028035,11922 LOUIS AVE WHITTIER CA 90605                                                   ,0100,Residential,Single,Non-Vacant,1,1954,4,East Los Angeles / Gateway,Gateway Planning Area,SOUTH WHITTIER - SUNSHINE ACRES,General Plan 2035,H18,100,,,,,H18 - Residential 18 (0 - 18 du/net ac),0,18 du/net ac,H18,H18 - Residential 18 (0 - 18 du/net ac),0,18,A-1,100,,,,,A-1 - Light Agricultural,R-2,R-2 - Two-Family Residence,0.13620982,3,Yes,0,0,0,2,2,AM,,,5933.30078125,330.901346088277
2117,8026028036,11924 LOUIS AVE WHITTIER CA 90605                                                   ,0100,Residential,Single,Non-Vacant,1,1954,4,East Los Angeles / Gateway,Gateway Planning Area,SOUTH WHITTIER - SUNSHINE ACRES,General Plan 2035,H18,100,,,,,H18 - Residential 18 (0 - 18 du/net ac),0,18 du/net ac,H18,H18 - Residential 18 (0 - 18 du/net ac),0,18,A-1,100,,,,,A-1 - Light Agricultural,R-2,R-2 - Two-Family Residence,0.15730878,3,Yes,0,0,0,2,2,AM,,,6852.369140625,533.896751881447
2118,8026028037,11813 CARMENITA RD WHITTIER CA 90605                                                ,0400,Residential,Four Units (Any Combination),Non-Vacant,4,1960,4,East Los Angeles / Gateway,Gateway Planning Area,SOUTH WHITTIER - SUNSHINE ACRES,General Plan 2035,H18,100,,,,,H18 - Residential 18 (0 - 18 du/net ac),0,18 du/net ac,H18,H18 - Residential 18 (0 - 18 du/net ac),0,18,A-1,100,,,,,A-1 - Light Agricultural,R-2,R-2 - Two-Family Residence,0.29885623,6,Yes,0,0,0,2,2,AM,,,13018.177734375,541.566734297879
2119,8026028038,11823 CARMENITA RD WHITTIER CA 90605                                                ,0100,Residential,Single,Non-Vacant,1,1954,4,East Los Angeles / Gateway,Gateway Planning Area,SOUTH WHITTIER - SUNSHINE ACRES,General Plan 2035,H18,100,,,,,H18 - Residential 18 (0 - 18 du/net ac),0,18 du/net ac,H18,H18 - Residential 18 (0 - 18 du/net ac),0,18,A-1,100,,,,,A-1 - Light Agricultural,R-2,R-2 - Two-Family Residence,0.30113191,6,Yes,0,0,0,4,4,AM,,,13117.3056640625,541.819596476026
2120,8026028039,11907 CARMENITA RD WHITTIER CA 90605                                                ,0100,Residential,Single,Non-Vacant,1,2007,4,East Los Angeles / Gateway,Gateway Planning Area,SOUTH WHITTIER - SUNSHINE ACRES,General Plan 2035,H18,100,,,,,H18 - Residential 18 (0 - 18 du/net ac),0,18 du/net ac,H18,H18 - Residential 18 (0 - 18 du/net ac),0,18,A-1,100,,,,,A-1 - Light Agricultural,R-2,R-2 - Two-Family Residence,0.11767876,3,Yes,0,0,0,2,2,AM,,,5126.0849609375,305.057292832029
2121,8026028040,11911 CARMENITA RD WHITTIER CA 90605                                                ,0100,Residential,Single,Non-Vacant,1,2007,4,East Los Angeles / Gateway,Gateway Planning Area,SOUTH WHITTIER - SUNSHINE ACRES,General Plan 2035,H18,100,,,,,H18 - Residential 18 (0 - 18 du/net ac),0,18 du/net ac,H18,H18 - Residential 18 (0 - 18 du/net ac),0,18,A-1,100,,,,,A-1 - Light Agricultural,R-2,R-2 - Two-Family Residence,0.17760584,4,Yes,0,0,0,3,3,AM,,,7736.5107421875,536.152741595762
2122,8026028041,11915 CARMENITA RD WHITTIER CA 90605                                                ,0100,Residential,Single,Non-Vacant,1,2007,4,East Los Angeles / Gateway,Gateway Planning Area,SOUTH WHITTIER - SUNSHINE ACRES,General Plan 2035,H18,100,,,,,H18 - Residential 18 (0 - 18 du/net ac),0,18 du/net ac,H18,H18 - Residential 18 (0 - 18 du/net ac),0,18,A-1,100,,,,,A-1 - Light Agricultural,R-2,R-2 - Two-Family Residence,0.17416518,4,Yes,0,0,0,3,3,AM,,,7586.6337890625,534.802239871072
2123,8026028042,11919 CARMENITA RD WHITTIER CA 90605                                                ,0100,Residential,Single,Non-Vacant,1,2007,4,East Los Angeles / Gateway,Gateway Planning Area,SOUTH WHITTIER - SUNSHINE ACRES,General Plan 2035,H18,100,,,,,H18 - Residential 18 (0 - 18 du/net ac),0,18 du/net ac,H18,H18 - Residential 18 (0 - 18 du/net ac),0,18,A-1,100,,,,,A-1 - Light Agricultural,R-2,R-2 - Two-Family Residence,0.11745732,3,Yes,0,0,0,2,2,AM,,,5116.44140625,304.760481714396
2124,8026009002,13320 MEYER RD WHITTIER CA 90605                                                    ,0200,Residential,Two Units,Non-Vacant,2,1959,4,East Los Angeles / Gateway,Gateway Planning Area,SOUTH WHITTIER - SUNSHINE ACRES,General Plan 2035,H18,100,,,,,H18 - Residential 18 (0 - 18 du/net ac),0,18 du/net ac,H18,H18 - Residential 18 (0 - 18 du/net ac),0,18,A-1,100,,,,,A-1 - Light Agricultural,R-2,R-2 - Two-Family Residence,0.24775244,5,Yes,0,0,0,3,3,AM,,,10792.0966796875,530.821817406656
2125,8026009003,13324 MEYER RD WHITTIER CA 90605                                                    ,0100,Residential,Single,Non-Vacant,1,1941,4,East Los Angeles / Gateway,Gateway Planning Area,SOUTH WHITTIER - SUNSHINE ACRES,General Plan 2035,H18,100,,,,,H18 - Residential 18 (0 - 18 du/net ac),0,18 du/net ac,H18,H18 - Residential 18 (0 - 18 du/net ac),0,18,A-1,100,,,,,A-1 - Light Agricultural,R-2,R-2 - Two-Family Residence,0.22601781,5,Yes,0,0,0,4,4,AM,,,9845.3349609375,502.106940248594
